date,jet_fuel_barrel_price
15.06.2022,176.6
07.06.2022,170.5
03.06.2022,158
23.05.2022,146.5
17.05.2022,166.4
09.05.2022,176.3
02.05.2022,174.4
27.04.2022,152.79
20.04.2022,160.4
14.04.2022,152.9
02.04.2022,161.6
26.03.2022,140.3
18.03.2022,132.9
10.03.2022,141.7
28.02.2022,111.1
24.02.2022,107.1
12.02.2022,111.7
02.02.2022,105.7
26.01.2022,103
24.01.2022,102.9
29.12.2021,89
22.12.2021,86.7
17.12.2021,87.4
10.12.2021,82.2
02.12.2021,84.7
29.11.2021,88.7
08.11.2021,95.5
31.10.2021,96.8
24.10.2021,98
16.10.2021,94.6
07.10.2021,89.3
01.10.2021,86.5
10.09.2021,80.8
17.08.2021,77
09.08.2021,77.6
05.08.2021,83.1
18.07.2021,80.4
17.06.2021,77.4
12.06.2021,76.4
06.05.2021,71.5
30.04.2021,69.9
22.04.2021,70.9
14.04.2021,66.9
09.04.2021,66.6
18.03.2021,72.9
15.02.2021,64.3
04.02.2021,59.4
28.01.2021,59.2
08.12.2020,54.1
